name	type	version	architecture	location	source	used_by	rebuild_method	status	notes
org.kde.marble	flatpak-app	25.12.2	aarch64	org.kde.marble/aarch64/stable	flathub	optional installed Flatpak app	flatpak install from origin	installed	Flatpak application; not restored by APT profiles.
org.kiwix.desktop	flatpak-app	2.4.1	aarch64	org.kiwix.desktop/aarch64/stable	flathub	AtEase Encarta/Kiwix feature	flatpak install from origin	installed	Flatpak application; content files are a separate rebuild gap.
org.qgis.qgis	flatpak-app	3.44.7	aarch64	org.qgis.qgis/aarch64/stable	flathub	optional installed Flatpak app	flatpak install from origin	installed	Flatpak application; not restored by APT profiles.
SheepShaver-aarch64.AppImage	AppImage		aarch64	/home/frost/emulation/SheepShaver-aarch64.AppImage	local file	Mac OS 9 launcher	preserve file or redownload/rebuild from upstream	installed	ROM and disk image are separate private/copyrighted rebuild gaps.
linuxdeploy-aarch64.AppImage	AppImage		aarch64	/home/frost/.cache/tauri/linuxdeploy-aarch64.AppImage	local cache	Tauri AppImage build helper	redownload through Tauri/linuxdeploy build process if needed	cache	Build cache, not a PiForma runtime application.
linuxdeploy-plugin-appimage.AppImage	AppImage		aarch64	/home/frost/.cache/tauri/linuxdeploy-plugin-appimage.AppImage	local cache	Tauri AppImage build helper	redownload through Tauri/linuxdeploy build process if needed	cache	Build cache, not a PiForma runtime application.
rustup toolchain	rustup	stable-aarch64-unknown-linux-gnu; rustc 1.96.1	arm64	/home/frost/.rustup and /home/frost/.cargo/bin	rustup	Tauri/Rust development	rustup install stable after documenting tested version	installed	Captured in development-toolchains.md; not supplied by APT.
cargo install package set	cargo-install-list	empty		/home/frost/.cargo/bin	cargo install	none found	no restore needed unless future packages are added	absent	`cargo install --list` returned no installed commands.
npm global package set	npm-global-list	empty		/usr/local/lib	npm -g	none found	no restore needed unless future packages are added	absent	`npm -g list --depth=0` reported empty.
pipx	pipx-app-list			PATH lookup	command	none found	install pipx only if future rebuild requires it	absent	`pipx` command was not found.
snap	snap-package-list			PATH lookup	command	none found	install snap only if future rebuild requires it	absent	`snap` command was not found.
Python environments	python-inventory	see packages/python-environments.tsv	arm64	/usr/lib/python3/dist-packages plus discovered virtualenvs	APT, virtualenvs	Python runtime and development	restore Debian Python packages through APT; recreate venvs separately	present	This is not a pip restore manifest. Do not blanket `pip install -r` Debian-managed Python packages.
/home/frost/venvs/ai	python-virtualenv	see freeze file	arm64	/home/frost/venvs/ai	local virtualenv	AI/development environment inferred from path	recreate virtualenv and apply freeze only after purpose review	present	Freeze output in packages/python-venv-freeze/home__frost__venvs__ai.txt.
/home/frost/.local/share/virtualenvs/frost-YFVTSGlW	python-virtualenv	see freeze file	arm64	/home/frost/.local/share/virtualenvs/frost-YFVTSGlW	local virtualenv	purpose unknown	recreate virtualenv and apply freeze only after purpose review	present	Freeze output in packages/python-venv-freeze/home__frost__.local__share__virtualenvs__frost-YFVTSGlW.txt.
/home/frost/linamp/venv	python-virtualenv	see freeze file	arm64	/home/frost/linamp/venv	local virtualenv	linamp project	recreate virtualenv and apply freeze only after purpose review	present	Freeze output in packages/python-venv-freeze/home__frost__linamp__venv.txt.
claude	local-tree-or-binary			/home/frost/.local/bin/claude	local filesystem	PiForma tooling/development	documented restore or upstream installer; not APT-only	present	Command exists in user-local bin.
codex	local-tree-or-binary			/home/frost/.local/bin/codex	local filesystem	PiForma tooling/development	documented restore or upstream installer; not APT-only	present	Command exists in user-local bin.
emulation	local-tree-or-binary			/home/frost/emulation	local filesystem	Mac OS and emulator features	document and restore contents separately	present	Contains SheepShaver AppImage and likely private/copyrighted assets.
pi-apps	local-tree-or-binary			/home/frost/pi-apps	local filesystem	optional app tooling	documented restore or upstream installer; not APT-only	present	Not owned by APT in this audit.
RetroPie-Setup	local-tree-or-binary			/home/frost/RetroPie-Setup	local filesystem	RetroPie/EmulationStation	restore RetroPie setup and configs separately	present	Contains cached SDL2 debs including held libsdl2-dev provenance evidence.
retropie	local-tree-or-binary			/opt/retropie	local filesystem	RetroPie/EmulationStation	restore RetroPie setup and configs separately	present	Not owned by APT in this audit.
emulationstation	non-apt-command		arm64	/opt/retropie and PATH wrappers	RetroPie install	AtEase RetroPie launcher	restore RetroPie setup and configs separately	present	Not owned by APT in this audit.
